bowler,overs,runs,wickets,maidens,economy,dot_balls,fours,sixes,wide_balls,no_balls,Match_id,team
Mohammed Shami,4.0,29.0,2,0.0,7.25,13.0,2.0,2.0,0.0,1.0,1st,Gujarat Titans
Hardik Pandya,3.0,28.0,0,0.0,9.33,6.0,2.0,2.0,0.0,0.0,1st,Gujarat Titans
Josh Little,4.0,41.0,1,0.0,10.25,10.0,4.0,3.0,0.0,0.0,1st,Gujarat Titans
Rashid Khan,4.0,26.0,2,0.0,6.5,10.0,2.0,1.0,0.0,0.0,1st,Gujarat Titans
Alzarri Joseph,4.0,33.0,2,0.0,8.25,8.0,0.0,3.0,0.0,0.0,1st,Gujarat Titans
Yash Dayal,1.0,14.0,0,0.0,14.0,2.0,0.0,2.0,0.0,0.0,1st,Gujarat Titans
Deepak Chahar,4.0,29.0,0,0.0,7.25,9.0,1.0,2.0,0.0,0.0,1st,Chennai Super Kings
Tushar Deshpande,3.2,51.0,1,0.0,15.3,5.0,4.0,4.0,1.0,1.0,1st,Chennai Super Kings
Rajvardhan Hangargekar,4.0,36.0,3,0.0,9.0,10.0,4.0,1.0,3.0,1.0,1st,Chennai Super Kings
Mitchell Santner,4.0,32.0,0,0.0,8.0,7.0,5.0,0.0,0.0,0.0,1st,Chennai Super Kings
Ravindra Jadeja,4.0,28.0,1,0.0,7.0,9.0,1.0,1.0,0.0,0.0,1st,Chennai Super Kings
Umesh Yadav,4.0,27.0,1,0.0,6.75,11.0,2.0,1.0,0.0,0.0,2nd,Kolkata Knight Riders
Tim Southee,4.0,54.0,2,0.0,13.5,7.0,6.0,3.0,0.0,0.0,2nd,Kolkata Knight Riders
Sunil Narine,4.0,40.0,1,0.0,10.0,8.0,3.0,2.0,1.0,0.0,2nd,Kolkata Knight Riders
Varun Chakravarthy,4.0,26.0,1,0.0,6.5,10.0,2.0,1.0,1.0,0.0,2nd,Kolkata Knight Riders
Shardul Thakur,4.0,43.0,0,0.0,10.75,7.0,4.0,2.0,0.0,1.0,2nd,Kolkata Knight Riders
Sam Curran,3.0,38.0,1,0.0,12.66,4.0,3.0,3.0,0.0,0.0,2nd,Punjab Kings
Arshdeep Singh,3.0,19.0,3,0.0,6.33,10.0,2.0,1.0,0.0,0.0,2nd,Punjab Kings
Nathan Ellis,3.0,27.0,1,0.0,9.0,8.0,2.0,1.0,0.0,2.0,2nd,Punjab Kings
Sikandar Raza,3.0,25.0,1,0.0,8.33,5.0,3.0,0.0,1.0,0.0,2nd,Punjab Kings
Rishi Dhawan,1.0,15.0,0,0.0,15.0,2.0,2.0,1.0,0.0,0.0,2nd,Punjab Kings
Rahul Chahar,2.0,12.0,1,0.0,6.0,5.0,0.0,1.0,0.0,0.0,2nd,Punjab Kings
Harpreet Brar,1.0,7.0,0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,2nd,Punjab Kings
Khaleel Ahmed,4.0,30.0,2,0.0,7.5,15.0,3.0,2.0,1.0,0.0,3rd,Delhi Capitals
Mukesh Kumar,4.0,34.0,0,0.0,8.5,5.0,0.0,2.0,1.0,0.0,3rd,Delhi Capitals
Chetan Sakariya,4.0,53.0,2,0.0,13.25,8.0,1.0,6.0,3.0,0.0,3rd,Delhi Capitals
Axar Patel,4.0,38.0,1,0.0,9.5,8.0,1.0,3.0,0.0,0.0,3rd,Delhi Capitals
Kuldeep Yadav,4.0,35.0,1,0.0,8.75,7.0,0.0,3.0,0.0,0.0,3rd,Delhi Capitals
Kyle Mayers,1.0,7.0,0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,3rd,Lucknow Super Giants
Jaydev Unadkat,3.0,39.0,0,0.0,13.0,3.0,5.0,0.0,2.0,0.0,3rd,Lucknow Super Giants
Krishnappa Gowtham,4.0,23.0,0,0.0,5.75,9.0,2.0,0.0,1.0,0.0,3rd,Lucknow Super Giants
Avesh Khan,4.0,29.0,2,0.0,7.25,12.0,3.0,1.0,0.0,0.0,3rd,Lucknow Super Giants
Mark Wood,4.0,14.0,5,0.0,3.5,17.0,1.0,0.0,1.0,1.0,3rd,Lucknow Super Giants
Ravi Bishnoi,4.0,31.0,2,0.0,7.75,8.0,3.0,1.0,0.0,0.0,3rd,Lucknow Super Giants
Bhuvneshwar Kumar,3.0,36.0,0,0.0,12.0,6.0,4.0,2.0,1.0,0.0,4th,Sunrisers Hyderabad
Fazalhaq Farooqi,4.0,41.0,2,0.0,10.25,11.0,7.0,0.0,0.0,0.0,4th,Sunrisers Hyderabad
Washington Sundar,3.0,32.0,0,0.0,10.66,5.0,1.0,3.0,0.0,0.0,4th,Sunrisers Hyderabad
T Natarajan,3.0,23.0,2,0.0,7.66,7.0,4.0,0.0,0.0,0.0,4th,Sunrisers Hyderabad
Adil Rashid,4.0,33.0,0,0.0,8.25,6.0,1.0,2.0,0.0,0.0,4th,Sunrisers Hyderabad
Umran Malik,3.0,32.0,1,0.0,10.66,4.0,4.0,1.0,1.0,0.0,4th,Sunrisers Hyderabad
Trent Boult,4.0,21.0,2,1.0,5.25,15.0,2.0,1.0,0.0,0.0,4th,Rajasthan Royals
KM Asif,3.0,15.0,0,0.0,5.0,9.0,1.0,0.0,1.0,0.0,4th,Rajasthan Royals
Jason Holder,3.0,16.0,1,0.0,5.33,10.0,1.0,1.0,0.0,0.0,4th,Rajasthan Royals
Ravichandran Ashwin,4.0,27.0,1,0.0,6.75,10.0,1.0,1.0,2.0,0.0,4th,Rajasthan Royals
Yuzvendra Chahal,4.0,17.0,4,0.0,4.25,11.0,0.0,0.0,0.0,0.0,4th,Rajasthan Royals
Navdeep Saini,2.0,34.0,0,0.0,17.0,3.0,3.0,2.0,0.0,3.0,4th,Rajasthan Royals
Mohammed Siraj,4.0,21.0,1,0.0,5.25,16.0,2.0,0.0,6.0,0.0,5th,Royal Challengers Bangalore
Reece Topley,2.0,14.0,1,0.0,7.0,7.0,3.0,0.0,0.0,0.0,5th,Royal Challengers Bangalore
Akash Deep,3.0,29.0,1,0.0,9.66,7.0,2.0,2.0,0.0,0.0,5th,Royal Challengers Bangalore
Harshal Patel,4.0,43.0,1,0.0,10.75,6.0,3.0,2.0,1.0,1.0,5th,Royal Challengers Bangalore
Karn Sharma,4.0,32.0,2,0.0,8.0,7.0,1.0,2.0,1.0,0.0,5th,Royal Challengers Bangalore
Michael Bracewell,2.0,16.0,1,0.0,8.0,6.0,3.0,0.0,0.0,0.0,5th,Royal Challengers Bangalore
Glenn Maxwell,1.0,16.0,0,0.0,16.0,0.0,1.0,1.0,1.0,0.0,5th,Royal Challengers Bangalore
Jason Behrendorff,3.0,37.0,0,0.0,12.33,6.0,3.0,3.0,0.0,0.0,5th,Mumbai Indians
Arshad Khan,2.2,28.0,1,0.0,12.0,7.0,2.0,2.0,4.0,0.0,5th,Mumbai Indians
Jofra Archer,4.0,33.0,0,0.0,8.25,10.0,2.0,2.0,0.0,0.0,5th,Mumbai Indians
Piyush Chawla,4.0,26.0,0,0.0,6.5,11.0,2.0,1.0,0.0,0.0,5th,Mumbai Indians
Cameron Green,2.0,30.0,1,0.0,15.0,4.0,2.0,3.0,0.0,0.0,5th,Mumbai Indians
Hrithik Shokeen,1.0,17.0,0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,5th,Mumbai Indians
Kyle Mayers,2.0,16.0,0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,6th,Lucknow Super Giants
Avesh Khan,3.0,39.0,1,0.0,13.0,4.0,6.0,0.0,1.0,0.0,6th,Lucknow Super Giants
Krunal Pandya,2.0,21.0,0,0.0,10.5,4.0,1.0,2.0,0.0,0.0,6th,Lucknow Super Giants
Krishnappa Gowtham,1.0,20.0,0,0.0,20.0,2.0,0.0,3.0,0.0,0.0,6th,Lucknow Super Giants
Mark Wood,4.0,49.0,3,0.0,12.25,9.0,3.0,5.0,0.0,0.0,6th,Lucknow Super Giants
Yash Thakur,4.0,36.0,0,0.0,9.0,4.0,3.0,1.0,0.0,1.0,6th,Lucknow Super Giants
Ravi Bishnoi,4.0,28.0,3,0.0,7.0,13.0,1.0,2.0,1.0,0.0,6th,Lucknow Super Giants
Deepak Chahar,4.0,55.0,0,0.0,13.75,6.0,7.0,1.0,5.0,0.0,6th,Chennai Super Kings
Ben Stokes,1.0,18.0,0,0.0,18.0,0.0,2.0,1.0,0.0,0.0,6th,Chennai Super Kings
Tushar Deshpande,4.0,45.0,2,0.0,11.25,7.0,2.0,2.0,4.0,3.0,6th,Chennai Super Kings
Moeen Ali,4.0,26.0,4,0.0,6.5,10.0,0.0,1.0,1.0,0.0,6th,Chennai Super Kings
Mitchell Santner,4.0,21.0,1,0.0,5.25,9.0,0.0,1.0,0.0,0.0,6th,Chennai Super Kings
Rajvardhan Hangargekar,2.0,24.0,0,0.0,12.0,4.0,2.0,1.0,3.0,0.0,6th,Chennai Super Kings
Ravindra Jadeja,1.0,14.0,0,0.0,14.0,2.0,0.0,2.0,0.0,0.0,6th,Chennai Super Kings
Mohammed Shami,4.0,41.0,3,0.0,10.25,15.0,5.0,1.0,4.0,0.0,7th,Gujarat Titans
Josh Little,4.0,27.0,0,0.0,6.75,11.0,2.0,1.0,0.0,0.0,7th,Gujarat Titans
Hardik Pandya,3.0,18.0,0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,7th,Gujarat Titans
Alzarri Joseph,4.0,29.0,2,0.0,7.25,13.0,3.0,1.0,1.0,0.0,7th,Gujarat Titans
Yash Dayal,1.0,12.0,0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,7th,Gujarat Titans
Rashid Khan,4.0,31.0,3,0.0,7.75,9.0,2.0,2.0,0.0,0.0,7th,Gujarat Titans
Khaleel Ahmed,4.0,38.0,1,0.0,9.5,9.0,5.0,1.0,1.0,0.0,7th,Delhi Capitals
Mukesh Kumar,4.0,42.0,0,0.0,10.5,8.0,5.0,2.0,1.0,0.0,7th,Delhi Capitals
Anrich Nortje,4.0,39.0,2,0.0,9.75,9.0,3.0,2.0,0.0,2.0,7th,Delhi Capitals
Mitchell Marsh,3.1,24.0,1,0.0,7.57,4.0,1.0,0.0,1.0,0.0,7th,Delhi Capitals
Kuldeep Yadav,3.0,18.0,0,0.0,6.0,5.0,1.0,0.0,1.0,0.0,7th,Delhi Capitals
Trent Boult,4.0,38.0,0,0.0,9.5,8.0,3.0,2.0,1.0,0.0,8th,Rajasthan Royals
KM Asif,4.0,54.0,0,0.0,13.5,7.0,5.0,3.0,3.0,1.0,8th,Rajasthan Royals
Ravichandran Ashwin,4.0,25.0,1,0.0,6.25,7.0,2.0,0.0,1.0,0.0,8th,Rajasthan Royals
Jason Holder,4.0,29.0,2,0.0,7.25,7.0,2.0,1.0,0.0,0.0,8th,Rajasthan Royals
Yuzvendra Chahal,4.0,50.0,1,0.0,12.5,5.0,7.0,1.0,1.0,0.0,8th,Rajasthan Royals
Sam Curran,4.0,44.0,0,0.0,11.0,7.0,3.0,3.0,0.0,0.0,8th,Punjab Kings
Arshdeep Singh,4.0,47.0,2,0.0,11.75,10.0,4.0,3.0,3.0,0.0,8th,Punjab Kings
Harpreet Brar,2.0,15.0,0,0.0,7.5,5.0,2.0,0.0,0.0,0.0,8th,Punjab Kings
Nathan Ellis,4.0,30.0,4,0.0,7.5,11.0,2.0,2.0,0.0,0.0,8th,Punjab Kings
Rahul Chahar,4.0,31.0,0,0.0,7.75,5.0,1.0,1.0,0.0,0.0,8th,Punjab Kings
Sikandar Raza,2.0,24.0,0,0.0,12.0,2.0,1.0,1.0,2.0,0.0,8th,Punjab Kings
Mohammed Siraj,4.0,44.0,1,0.0,11.0,13.0,6.0,1.0,3.0,1.0,9th,Royal Challengers Bangalore
David Willey,4.0,16.0,2,1.0,4.0,15.0,2.0,0.0,1.0,0.0,9th,Royal Challengers Bangalore
Akash Deep,2.0,30.0,0,0.0,15.0,4.0,2.0,2.0,1.0,2.0,9th,Royal Challengers Bangalore
Michael Bracewell,3.0,34.0,1,0.0,11.33,3.0,1.0,3.0,0.0,0.0,9th,Royal Challengers Bangalore
Shahbaz Ahmed,1.0,6.0,0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,9th,Royal Challengers Bangalore
Karn Sharma,3.0,26.0,2,0.0,8.66,6.0,2.0,1.0,0.0,0.0,9th,Royal Challengers Bangalore
Harshal Patel,3.0,38.0,1,0.0,12.66,5.0,4.0,2.0,1.0,0.0,9th,Royal Challengers Bangalore
Umesh Yadav,2.0,17.0,0,0.0,8.5,5.0,3.0,0.0,0.0,0.0,9th,Kolkata Knight Riders
Tim Southee,2.0,25.0,0,0.0,12.5,5.0,2.0,2.0,0.0,0.0,9th,Kolkata Knight Riders
Sunil Narine,4.0,16.0,2,0.0,4.0,12.0,1.0,0.0,0.0,0.0,9th,Kolkata Knight Riders
Varun Chakravarthy,3.4,15.0,4,0.0,4.09,13.0,2.0,0.0,0.0,0.0,9th,Kolkata Knight Riders
Suyash Sharma,4.0,30.0,3,0.0,7.5,11.0,2.0,2.0,1.0,0.0,9th,Kolkata Knight Riders
Shardul Thakur,2.0,15.0,1,0.0,7.5,4.0,2.0,0.0,0.0,0.0,9th,Kolkata Knight Riders
Kyle Mayers,1.0,5.0,0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,10th,Lucknow Super Giants
Jaydev Unadkat,3.0,26.0,0,0.0,8.66,9.0,0.0,3.0,1.0,0.0,10th,Lucknow Super Giants
Krunal Pandya,4.0,18.0,3,0.0,4.5,15.0,3.0,0.0,0.0,0.0,10th,Lucknow Super Giants
Yash Thakur,3.0,23.0,1,0.0,7.66,6.0,3.0,0.0,0.0,0.0,10th,Lucknow Super Giants
Ravi Bishnoi,4.0,16.0,1,0.0,4.0,10.0,0.0,0.0,1.0,0.0,10th,Lucknow Super Giants
Deepak Hooda,1.0,8.0,0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,10th,Lucknow Super Giants
Amit Mishra,4.0,23.0,2,0.0,5.75,10.0,3.0,0.0,0.0,0.0,10th,Lucknow Super Giants
Bhuvneshwar Kumar,2.0,19.0,1,0.0,9.5,7.0,1.0,1.0,1.0,0.0,10th,Sunrisers Hyderabad
Washington Sundar,1.0,11.0,0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,10th,Sunrisers Hyderabad
Fazalhaq Farooqi,3.0,13.0,1,0.0,4.33,12.0,2.0,0.0,1.0,0.0,10th,Sunrisers Hyderabad
Aiden Markram,2.0,14.0,0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,10th,Sunrisers Hyderabad
Adil Rashid,3.0,23.0,2,0.0,7.66,8.0,2.0,1.0,0.0,0.0,10th,Sunrisers Hyderabad
T Natarajan,3.0,23.0,0,0.0,7.66,7.0,1.0,1.0,1.0,0.0,10th,Sunrisers Hyderabad
Umran Malik,2.0,22.0,1,0.0,11.0,7.0,3.0,0.0,2.0,0.0,10th,Sunrisers Hyderabad
Khaleel Ahmed,2.0,31.0,0,0.0,15.5,3.0,6.0,0.0,2.0,0.0,11th,Delhi Capitals
Anrich Nortje,4.0,44.0,0,0.0,11.0,10.0,6.0,2.0,0.0,0.0,11th,Delhi Capitals
Mukesh Kumar,4.0,36.0,2,0.0,9.0,8.0,3.0,2.0,0.0,0.0,11th,Delhi Capitals
Axar Patel,4.0,38.0,0,0.0,9.5,6.0,5.0,1.0,0.0,0.0,11th,Delhi Capitals
Kuldeep Yadav,4.0,31.0,1,0.0,7.75,8.0,2.0,1.0,0.0,0.0,11th,Delhi Capitals
Rovman Powell,2.0,18.0,1,0.0,9.0,4.0,1.0,1.0,1.0,1.0,11th,Delhi Capitals
Trent Boult,4.0,29.0,3,1.0,7.25,11.0,5.0,0.0,0.0,0.0,11th,Rajasthan Royals
Sandeep Sharma,4.0,20.0,1,0.0,5.0,11.0,2.0,0.0,1.0,0.0,11th,Rajasthan Royals
Ravichandran Ashwin,4.0,25.0,2,0.0,6.25,10.0,2.0,0.0,3.0,0.0,11th,Rajasthan Royals
Jason Holder,3.0,28.0,0,0.0,9.33,4.0,4.0,0.0,1.0,0.0,11th,Rajasthan Royals
Yuzvendra Chahal,4.0,27.0,3,0.0,6.75,8.0,2.0,0.0,2.0,0.0,11th,Rajasthan Royals
Murugan Ashwin,1.0,11.0,0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,11th,Rajasthan Royals
Deepak Chahar,1.0,10.0,0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,12th,Chennai Super Kings
Tushar Deshpande,3.0,31.0,2,0.0,10.33,9.0,2.0,3.0,1.0,0.0,12th,Chennai Super Kings
Sisanda Magala,4.0,37.0,1,0.0,9.25,4.0,5.0,0.0,0.0,0.0,12th,Chennai Super Kings
Mitchell Santner,4.0,28.0,2,0.0,7.0,6.0,3.0,0.0,0.0,0.0,12th,Chennai Super Kings
Ravindra Jadeja,4.0,20.0,3,0.0,5.0,9.0,0.0,1.0,0.0,0.0,12th,Chennai Super Kings
Dwaine Pretorius,4.0,28.0,0,0.0,7.0,9.0,3.0,0.0,4.0,0.0,12th,Chennai Super Kings
Jason Behrendorff,3.0,24.0,1,0.0,8.0,9.0,2.0,1.0,1.0,0.0,12th,Mumbai Indians
Arshad Khan,2.1,35.0,0,0.0,16.15,2.0,5.0,1.0,3.0,0.0,12th,Mumbai Indians
Cameron Green,3.0,20.0,0,0.0,6.66,6.0,0.0,1.0,1.0,0.0,12th,Mumbai Indians
Piyush Chawla,4.0,33.0,1,0.0,8.25,8.0,5.0,0.0,0.0,0.0,12th,Mumbai Indians
Kumar Kartikeya,4.0,24.0,1,0.0,6.0,6.0,0.0,1.0,0.0,0.0,12th,Mumbai Indians
Hrithik Shokeen,2.0,19.0,0,0.0,9.5,4.0,2.0,1.0,0.0,0.0,12th,Mumbai Indians
Umesh Yadav,3.0,24.0,0,0.0,8.0,7.0,4.0,0.0,1.0,0.0,13th,Kolkata Knight Riders
Shardul Thakur,3.0,40.0,0,0.0,13.33,4.0,3.0,3.0,1.0,0.0,13th,Kolkata Knight Riders
Lockie Ferguson,4.0,40.0,0,0.0,10.0,8.0,3.0,2.0,1.0,1.0,13th,Kolkata Knight Riders
Sunil Narine,4.0,33.0,3,0.0,8.25,8.0,3.0,1.0,1.0,0.0,13th,Kolkata Knight Riders
Varun Chakravarthy,2.0,27.0,0,0.0,13.5,1.0,2.0,1.0,1.0,0.0,13th,Kolkata Knight Riders
Suyash Sharma,4.0,35.0,1,0.0,8.75,6.0,3.0,0.0,1.0,0.0,13th,Kolkata Knight Riders
Mohammed Shami,4.0,28.0,1,0.0,7.0,10.0,2.0,1.0,0.0,0.0,13th,Gujarat Titans
Josh Little,4.0,45.0,1,0.0,11.25,9.0,4.0,3.0,3.0,0.0,13th,Gujarat Titans
Alzarri Joseph,4.0,27.0,2,0.0,6.75,14.0,2.0,2.0,0.0,0.0,13th,Gujarat Titans
Yash Dayal,4.0,69.0,0,0.0,17.25,4.0,3.0,8.0,0.0,0.0,13th,Gujarat Titans
Rashid Khan,4.0,37.0,3,0.0,9.25,6.0,4.0,1.0,0.0,0.0,13th,Gujarat Titans
Bhuvneshwar Kumar,4.0,33.0,1,0.0,8.25,13.0,6.0,0.0,3.0,0.0,14th,Sunrisers Hyderabad
Marco Jansen,3.0,16.0,2,1.0,5.33,14.0,2.0,1.0,1.0,0.0,14th,Sunrisers Hyderabad
T Natarajan,4.0,40.0,0,0.0,10.0,10.0,3.0,3.0,0.0,0.0,14th,Sunrisers Hyderabad
Washington Sundar,1.0,6.0,0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,14th,Sunrisers Hyderabad
Mayank Markande,4.0,15.0,4,0.0,3.75,15.0,2.0,0.0,0.0,0.0,14th,Sunrisers Hyderabad
Umran Malik,4.0,32.0,2,0.0,8.0,14.0,3.0,2.0,1.0,0.0,14th,Sunrisers Hyderabad
Sam Curran,3.0,14.0,0,0.0,4.66,8.0,1.0,0.0,0.0,0.0,14th,Punjab Kings
Arshdeep Singh,3.0,20.0,1,0.0,6.66,10.0,4.0,0.0,0.0,0.0,14th,Punjab Kings
Harpreet Brar,3.1,26.0,0,0.0,8.21,8.0,5.0,0.0,0.0,0.0,14th,Punjab Kings
Nathan Ellis,3.0,28.0,0,0.0,9.33,5.0,5.0,0.0,0.0,0.0,14th,Punjab Kings
Rahul Chahar,3.0,28.0,1,0.0,9.33,8.0,4.0,1.0,0.0,0.0,14th,Punjab Kings
Mohit Rathee,2.0,29.0,0,0.0,14.5,3.0,3.0,2.0,0.0,0.0,14th,Punjab Kings
Jaydev Unadkat,2.0,27.0,0,0.0,13.5,3.0,2.0,2.0,1.0,0.0,15th,Lucknow Super Giants
Avesh Khan,4.0,53.0,0,0.0,13.25,8.0,5.0,4.0,0.0,0.0,15th,Lucknow Super Giants
Krunal Pandya,4.0,35.0,0,0.0,8.75,5.0,2.0,2.0,0.0,0.0,15th,Lucknow Super Giants
Mark Wood,4.0,32.0,1,1.0,8.0,12.0,1.0,3.0,2.0,0.0,15th,Lucknow Super Giants
Ravi Bishnoi,4.0,39.0,0,0.0,9.75,5.0,1.0,3.0,1.0,0.0,15th,Lucknow Super Giants
Amit Mishra,2.0,18.0,1,0.0,9.0,2.0,1.0,1.0,0.0,0.0,15th,Lucknow Super Giants
Mohammed Siraj,4.0,22.0,3,0.0,5.5,16.0,3.0,0.0,4.0,0.0,15th,Royal Challengers Bangalore
David Willey,4.0,32.0,0,0.0,8.0,6.0,2.0,1.0,1.0,0.0,15th,Royal Challengers Bangalore
Wayne Parnell,4.0,41.0,3,0.0,10.25,6.0,5.0,1.0,3.0,0.0,15th,Royal Challengers Bangalore
Harshal Patel,4.0,48.0,2,0.0,12.0,5.0,4.0,3.0,0.0,0.0,15th,Royal Challengers Bangalore
Karn Sharma,3.0,48.0,1,0.0,16.0,5.0,3.0,5.0,1.0,0.0,15th,Royal Challengers Bangalore
Shahbaz Ahmed,1.0,15.0,0,0.0,15.0,1.0,0.0,2.0,0.0,0.0,15th,Royal Challengers Bangalore
