bowler,overs,runs,wickets,maidens,economy,dot_balls,fours,sixes,wide_balls,no_balls,Match_id,team
Jason Behrendorff,3.0,23.0,3,0.0,7.66,8.0,1.0,2.0,0.0,0.0,16th,Mumbai Indians
Arshad Khan,1.0,12.0,0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,16th,Mumbai Indians
Cameron Green,3.0,30.0,0,0.0,10.0,4.0,5.0,0.0,1.0,0.0,16th,Mumbai Indians
Hrithik Shokeen,4.0,43.0,1,0.0,10.75,10.0,4.0,2.0,1.0,1.0,16th,Mumbai Indians
Riley Meredith,3.4,34.0,2,0.0,9.27,10.0,5.0,1.0,0.0,1.0,16th,Mumbai Indians
Piyush Chawla,4.0,22.0,3,0.0,5.5,9.0,2.0,0.0,0.0,0.0,16th,Mumbai Indians
Tilak Varma,1.0,7.0,0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,16th,Mumbai Indians
Mukesh Kumar,2.0,30.0,2,0.0,15.0,6.0,3.0,3.0,0.0,0.0,16th,Delhi Capitals
Mustafizur Rahman,4.0,38.0,1,0.0,9.5,11.0,5.0,2.0,0.0,0.0,16th,Delhi Capitals
Anrich Nortje,4.0,35.0,0,0.0,8.75,8.0,2.0,2.0,0.0,0.0,16th,Delhi Capitals
Lalit Yadav,4.0,23.0,0,0.0,5.75,10.0,1.0,1.0,1.0,0.0,16th,Delhi Capitals
Axar Patel,4.0,20.0,0,0.0,5.0,12.0,2.0,0.0,1.0,0.0,16th,Delhi Capitals
Kuldeep Yadav,2.0,23.0,0,0.0,11.5,2.0,1.0,2.0,0.0,0.0,16th,Delhi Capitals
Akash Singh,4.0,40.0,2,0.0,10.0,7.0,2.0,3.0,1.0,0.0,17th,Chennai Super Kings
Tushar Deshpande,4.0,37.0,2,0.0,9.25,7.0,4.0,1.0,1.0,0.0,17th,Chennai Super Kings
Maheesh Theekshana,4.0,42.0,0,0.0,10.5,4.0,5.0,1.0,0.0,0.0,17th,Chennai Super Kings
Ravindra Jadeja,4.0,21.0,2,0.0,5.25,11.0,0.0,0.0,3.0,0.0,17th,Chennai Super Kings
Moeen Ali,2.0,21.0,1,0.0,10.5,3.0,0.0,2.0,0.0,0.0,17th,Chennai Super Kings
Sisanda Magala,2.0,14.0,0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,17th,Chennai Super Kings
Sandeep Sharma,3.0,30.0,1,0.0,10.0,6.0,1.0,2.0,2.0,0.0,17th,Rajasthan Royals
Kuldeep Sen,2.0,8.0,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,17th,Rajasthan Royals
Jason Holder,3.0,37.0,0,0.0,12.33,4.0,4.0,2.0,1.0,0.0,17th,Rajasthan Royals
Adam Zampa,4.0,43.0,1,0.0,10.75,5.0,4.0,1.0,1.0,0.0,17th,Rajasthan Royals
Ravichandran Ashwin,4.0,25.0,2,0.0,6.25,10.0,1.0,1.0,2.0,0.0,17th,Rajasthan Royals
Yuzvendra Chahal,4.0,27.0,2,0.0,6.75,8.0,2.0,0.0,1.0,0.0,17th,Rajasthan Royals
Mohammed Shami,4.0,44.0,1,0.0,11.0,9.0,7.0,1.0,1.0,0.0,18th,Gujarat Titans
Josh Little,4.0,31.0,1,0.0,7.75,11.0,3.0,1.0,3.0,0.0,18th,Gujarat Titans
Alzarri Joseph,4.0,32.0,1,0.0,8.0,11.0,1.0,2.0,5.0,0.0,18th,Gujarat Titans
Rashid Khan,4.0,26.0,1,0.0,6.5,13.0,3.0,1.0,0.0,0.0,18th,Gujarat Titans
Mohit Sharma,4.0,18.0,2,0.0,4.5,12.0,2.0,0.0,0.0,0.0,18th,Gujarat Titans
Arshdeep Singh,4.0,33.0,1,0.0,8.25,8.0,5.0,0.0,0.0,0.0,18th,Punjab Kings
Kagiso Rabada,4.0,36.0,1,0.0,9.0,11.0,5.0,1.0,0.0,0.0,18th,Punjab Kings
Harpreet Brar,4.0,20.0,1,0.0,5.0,8.0,1.0,0.0,0.0,0.0,18th,Punjab Kings
Sam Curran,3.5,25.0,1,0.0,6.52,7.0,2.0,0.0,0.0,0.0,18th,Punjab Kings
Rahul Chahar,3.0,24.0,0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,18th,Punjab Kings
Matthew Short,1.0,8.0,0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,18th,Punjab Kings
Umesh Yadav,3.0,42.0,0,0.0,14.0,3.0,3.0,3.0,1.0,0.0,19th,Kolkata Knight Riders
Lockie Ferguson,2.0,37.0,0,0.0,18.5,4.0,5.0,1.0,1.0,1.0,19th,Kolkata Knight Riders
Sunil Narine,4.0,28.0,0,0.0,7.0,7.0,1.0,1.0,2.0,0.0,19th,Kolkata Knight Riders
Andre Russell,2.1,22.0,3,0.0,10.15,4.0,2.0,1.0,2.0,0.0,19th,Kolkata Knight Riders
Varun Chakravarthy,4.0,41.0,1,0.0,10.25,4.0,3.0,2.0,1.0,0.0,19th,Kolkata Knight Riders
Suyash Sharma,4.0,44.0,0,0.0,11.0,8.0,4.0,3.0,0.0,0.0,19th,Kolkata Knight Riders
Shardul Thakur,0.5,14.0,0,0.0,16.8,0.0,3.0,0.0,0.0,0.0,19th,Kolkata Knight Riders
Bhuvneshwar Kumar,4.0,29.0,1,1.0,7.25,10.0,4.0,0.0,1.0,0.0,19th,Sunrisers Hyderabad
Marco Jansen,4.0,37.0,2,0.0,9.25,12.0,1.0,3.0,4.0,2.0,19th,Sunrisers Hyderabad
T Natarajan,4.0,54.0,1,0.0,13.5,6.0,6.0,3.0,1.0,0.0,19th,Sunrisers Hyderabad
Umran Malik,2.0,36.0,1,0.0,18.0,3.0,4.0,3.0,0.0,0.0,19th,Sunrisers Hyderabad
Mayank Markande,4.0,27.0,2,0.0,6.75,10.0,2.0,1.0,0.0,0.0,19th,Sunrisers Hyderabad
Washington Sundar,2.0,20.0,0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,19th,Sunrisers Hyderabad
Anrich Nortje,4.0,31.0,0,0.0,7.75,9.0,3.0,0.0,2.0,1.0,20th,Delhi Capitals
Axar Patel,3.0,25.0,1,0.0,8.33,9.0,0.0,3.0,0.0,0.0,20th,Delhi Capitals
Mustafizur Rahman,3.0,41.0,0,0.0,13.66,2.0,5.0,2.0,0.0,0.0,20th,Delhi Capitals
Mitchell Marsh,2.0,18.0,2,0.0,9.0,5.0,2.0,1.0,0.0,0.0,20th,Delhi Capitals
Lalit Yadav,4.0,29.0,1,0.0,7.25,7.0,0.0,2.0,1.0,0.0,20th,Delhi Capitals
Kuldeep Yadav,4.0,23.0,2,1.0,5.75,10.0,3.0,0.0,0.0,0.0,20th,Delhi Capitals
Mohammed Siraj,4.0,23.0,2,0.0,5.75,14.0,4.0,0.0,0.0,0.0,20th,Royal Challengers Bangalore
Wayne Parnell,4.0,28.0,1,0.0,7.0,10.0,3.0,1.0,0.0,0.0,20th,Royal Challengers Bangalore
Vijaykumar Vyshak,4.0,20.0,3,0.0,5.0,11.0,2.0,0.0,0.0,0.0,20th,Royal Challengers Bangalore
Shahbaz Ahmed,1.0,11.0,0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,20th,Royal Challengers Bangalore
Wanindu Hasaranga,3.0,37.0,1,0.0,12.33,4.0,5.0,1.0,0.0,0.0,20th,Royal Challengers Bangalore
Harshal Patel,4.0,32.0,1,0.0,8.0,7.0,3.0,0.0,3.0,0.0,20th,Royal Challengers Bangalore
Matthew Short,2.0,10.0,0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,21st,Punjab Kings
Arshdeep Singh,3.0,22.0,1,0.0,7.33,7.0,3.0,0.0,1.0,0.0,21st,Punjab Kings
Kagiso Rabada,4.0,34.0,2,0.0,8.5,11.0,2.0,2.0,2.0,0.0,21st,Punjab Kings
Sam Curran,4.0,31.0,3,0.0,7.75,9.0,2.0,1.0,2.0,0.0,21st,Punjab Kings
Harpreet Brar,2.0,10.0,1,0.0,5.0,6.0,1.0,0.0,0.0,0.0,21st,Punjab Kings
Sikandar Raza,2.0,19.0,1,0.0,9.5,2.0,2.0,0.0,0.0,1.0,21st,Punjab Kings
Rahul Chahar,3.0,28.0,0,0.0,9.33,5.0,1.0,2.0,1.0,0.0,21st,Punjab Kings
Yudhvir Singh,3.0,19.0,2,0.0,6.33,11.0,4.0,0.0,0.0,0.0,21st,Lucknow Super Giants
Avesh Khan,3.0,24.0,0,0.0,8.0,8.0,4.0,0.0,1.0,0.0,21st,Lucknow Super Giants
Mark Wood,4.0,35.0,2,0.0,8.75,10.0,2.0,2.0,2.0,0.0,21st,Lucknow Super Giants
Krishnappa Gowtham,4.0,31.0,1,0.0,7.75,10.0,1.0,2.0,1.0,0.0,21st,Lucknow Super Giants
Krunal Pandya,3.0,32.0,1,0.0,10.66,6.0,3.0,2.0,0.0,0.0,21st,Lucknow Super Giants
Ravi Bishnoi,2.3,18.0,2,0.0,7.2,7.0,2.0,0.0,1.0,0.0,21st,Lucknow Super Giants
Arjun Tendulkar,2.0,17.0,0,0.0,8.5,6.0,1.0,1.0,1.0,0.0,22nd,Mumbai Indians
Cameron Green,2.0,20.0,1,0.0,10.0,6.0,1.0,1.0,2.0,0.0,22nd,Mumbai Indians
Duan Jansen,4.0,53.0,1,0.0,13.25,6.0,3.0,4.0,4.0,0.0,22nd,Mumbai Indians
Piyush Chawla,4.0,19.0,1,0.0,4.75,10.0,1.0,0.0,0.0,0.0,22nd,Mumbai Indians
Hrithik Shokeen,4.0,34.0,2,0.0,8.5,7.0,3.0,1.0,1.0,0.0,22nd,Mumbai Indians
Riley Meredith,4.0,40.0,1,0.0,10.0,9.0,3.0,3.0,0.0,0.0,22nd,Mumbai Indians
Umesh Yadav,2.0,19.0,0,0.0,9.5,6.0,1.0,2.0,0.0,0.0,22nd,Kolkata Knight Riders
Shardul Thakur,2.0,25.0,1,0.0,12.5,2.0,3.0,1.0,1.0,0.0,22nd,Kolkata Knight Riders
Sunil Narine,3.0,41.0,0,0.0,13.66,4.0,3.0,3.0,1.0,0.0,22nd,Kolkata Knight Riders
Suyash Sharma,4.0,27.0,2,0.0,6.75,11.0,3.0,1.0,0.0,0.0,22nd,Kolkata Knight Riders
Varun Chakravarthy,4.0,38.0,1,0.0,9.5,10.0,2.0,3.0,1.0,0.0,22nd,Kolkata Knight Riders
Lockie Ferguson,1.4,19.0,1,0.0,11.4,4.0,1.0,2.0,0.0,0.0,22nd,Kolkata Knight Riders
Andre Russell,1.0,17.0,0,0.0,17.0,1.0,2.0,1.0,0.0,0.0,22nd,Kolkata Knight Riders
Trent Boult,4.0,46.0,1,0.0,11.5,6.0,4.0,2.0,2.0,0.0,23rd,Rajasthan Royals
Sandeep Sharma,4.0,25.0,2,0.0,6.25,10.0,3.0,0.0,1.0,0.0,23rd,Rajasthan Royals
Adam Zampa,4.0,32.0,1,0.0,8.0,9.0,2.0,2.0,0.0,0.0,23rd,Rajasthan Royals
Ravichandran Ashwin,4.0,37.0,0,0.0,9.25,5.0,4.0,1.0,0.0,0.0,23rd,Rajasthan Royals
Yuzvendra Chahal,4.0,36.0,1,0.0,9.0,3.0,0.0,2.0,1.0,0.0,23rd,Rajasthan Royals
Mohammed Shami,4.0,25.0,3,1.0,6.25,18.0,1.0,3.0,1.0,0.0,23rd,Gujarat Titans
Hardik Pandya,4.0,24.0,1,0.0,6.0,14.0,3.0,1.0,0.0,0.0,23rd,Gujarat Titans
Alzarri Joseph,3.0,47.0,0,0.0,15.66,2.0,3.0,4.0,0.0,0.0,23rd,Gujarat Titans
Rashid Khan,4.0,46.0,2,0.0,11.5,7.0,1.0,5.0,0.0,0.0,23rd,Gujarat Titans
Mohit Sharma,2.0,7.0,0,0.0,3.5,5.0,0.0,0.0,0.0,0.0,23rd,Gujarat Titans
Noor Ahmad,2.2,29.0,1,0.0,12.42,3.0,2.0,2.0,1.0,0.0,23rd,Gujarat Titans
Mohammed Siraj,4.0,30.0,1,0.0,7.5,10.0,1.0,2.0,1.0,0.0,24th,Royal Challengers Bangalore
Wayne Parnell,4.0,48.0,1,0.0,12.0,7.0,3.0,4.0,0.0,0.0,24th,Royal Challengers Bangalore
Vijaykumar Vyshak,4.0,62.0,1,0.0,15.5,3.0,5.0,5.0,0.0,0.0,24th,Royal Challengers Bangalore
Glenn Maxwell,2.4,28.0,1,0.0,10.5,4.0,0.0,3.0,1.0,0.0,24th,Royal Challengers Bangalore
Wanindu Hasaranga,2.0,21.0,1,0.0,10.5,1.0,1.0,1.0,0.0,0.0,24th,Royal Challengers Bangalore
Harshal Patel,3.2,36.0,1,0.0,10.8,8.0,2.0,2.0,2.0,2.0,24th,Royal Challengers Bangalore
Akash Singh,3.0,35.0,1,0.0,11.66,9.0,3.0,3.0,0.0,0.0,24th,Chennai Super Kings
Tushar Deshpande,4.0,45.0,3,0.0,11.25,9.0,5.0,2.0,3.0,0.0,24th,Chennai Super Kings
Maheesh Theekshana,4.0,41.0,1,0.0,10.25,4.0,1.0,3.0,1.0,0.0,24th,Chennai Super Kings
Ravindra Jadeja,4.0,37.0,0,0.0,9.25,3.0,0.0,3.0,0.0,0.0,24th,Chennai Super Kings
Matheesha Pathirana,4.0,42.0,2,0.0,10.5,9.0,3.0,3.0,2.0,0.0,24th,Chennai Super Kings
Moeen Ali,1.0,13.0,1,0.0,13.0,3.0,0.0,2.0,0.0,0.0,24th,Chennai Super Kings
Bhuvneshwar Kumar,4.0,31.0,1,0.0,7.75,8.0,1.0,2.0,0.0,0.0,25th,Sunrisers Hyderabad
Marco Jansen,4.0,43.0,2,0.0,10.75,11.0,3.0,4.0,1.0,0.0,25th,Sunrisers Hyderabad
Washington Sundar,4.0,33.0,0,0.0,8.25,10.0,4.0,1.0,0.0,0.0,25th,Sunrisers Hyderabad
T Natarajan,4.0,50.0,1,0.0,12.5,3.0,7.0,1.0,0.0,0.0,25th,Sunrisers Hyderabad
Mayank Markande,4.0,35.0,0,0.0,8.75,9.0,4.0,1.0,1.0,0.0,25th,Sunrisers Hyderabad
Arjun Tendulkar,2.5,18.0,1,0.0,6.35,9.0,2.0,0.0,3.0,0.0,25th,Mumbai Indians
Jason Behrendorff,4.0,37.0,2,0.0,9.25,7.0,5.0,0.0,1.0,0.0,25th,Mumbai Indians
Riley Meredith,4.0,33.0,2,0.0,8.25,10.0,3.0,1.0,3.0,0.0,25th,Mumbai Indians
Hrithik Shokeen,1.0,12.0,0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,25th,Mumbai Indians
Piyush Chawla,4.0,43.0,2,0.0,10.75,5.0,4.0,2.0,0.0,0.0,25th,Mumbai Indians
Cameron Green,4.0,29.0,1,0.0,7.25,9.0,4.0,0.0,1.0,0.0,25th,Mumbai Indians
Trent Boult,4.0,16.0,1,1.0,4.0,18.0,1.0,1.0,0.0,0.0,26th,Rajasthan Royals
Sandeep Sharma,4.0,32.0,1,0.0,8.0,8.0,4.0,0.0,0.0,1.0,26th,Rajasthan Royals
Ravichandran Ashwin,4.0,23.0,2,0.0,5.75,9.0,2.0,0.0,1.0,0.0,26th,Rajasthan Royals
Yuzvendra Chahal,4.0,41.0,0,0.0,10.25,5.0,3.0,2.0,0.0,0.0,26th,Rajasthan Royals
Jason Holder,4.0,38.0,1,0.0,9.5,7.0,3.0,2.0,0.0,0.0,26th,Rajasthan Royals
Naveen-ul-Haq,4.0,19.0,0,0.0,4.75,11.0,0.0,1.0,1.0,0.0,26th,Lucknow Super Giants
Yudhvir Singh,2.0,27.0,0,0.0,13.5,6.0,2.0,2.0,1.0,0.0,26th,Lucknow Super Giants
Avesh Khan,4.0,25.0,3,0.0,6.25,12.0,4.0,0.0,0.0,0.0,26th,Lucknow Super Giants
Marcus Stoinis,4.0,28.0,2,0.0,7.0,11.0,3.0,1.0,0.0,0.0,26th,Lucknow Super Giants
Ravi Bishnoi,4.0,25.0,0,0.0,6.25,8.0,2.0,0.0,0.0,1.0,26th,Lucknow Super Giants
Amit Mishra,2.0,15.0,0,0.0,7.5,3.0,2.0,0.0,0.0,0.0,26th,Lucknow Super Giants
Arshdeep Singh,4.0,34.0,1,0.0,8.5,8.0,5.0,0.0,1.0,0.0,27th,Punjab Kings
Harpreet Brar,3.0,31.0,2,0.0,10.33,7.0,1.0,3.0,0.0,0.0,27th,Punjab Kings
Nathan Ellis,4.0,41.0,1,0.0,10.25,8.0,2.0,3.0,1.0,0.0,27th,Punjab Kings
Sam Curran,4.0,27.0,0,0.0,6.75,6.0,1.0,0.0,0.0,1.0,27th,Punjab Kings
Rahul Chahar,4.0,24.0,0,0.0,6.0,7.0,2.0,0.0,0.0,0.0,27th,Punjab Kings
Liam Livingstone,1.0,9.0,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,27th,Punjab Kings
Mohammed Siraj,4.0,21.0,4,0.0,5.25,13.0,3.0,0.0,0.0,0.0,27th,Royal Challengers Bangalore
Wayne Parnell,3.0,32.0,1,0.0,10.66,9.0,1.0,4.0,0.0,0.0,27th,Royal Challengers Bangalore
Wanindu Hasaranga,4.0,39.0,2,0.0,9.75,7.0,2.0,3.0,0.0,0.0,27th,Royal Challengers Bangalore
Vijaykumar Vyshak,3.0,29.0,0,0.0,9.66,6.0,2.0,2.0,1.0,0.0,27th,Royal Challengers Bangalore
Glenn Maxwell,1.0,5.0,0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,27th,Royal Challengers Bangalore
Harshal Patel,3.2,22.0,1,0.0,6.6,10.0,1.0,1.0,1.0,1.0,27th,Royal Challengers Bangalore
Ishant Sharma,4.0,19.0,2,0.0,4.75,13.0,2.0,0.0,1.0,0.0,28th,Delhi Capitals
Mukesh Kumar,4.0,34.0,1,0.0,8.5,15.0,2.0,3.0,4.0,0.0,28th,Delhi Capitals
Anrich Nortje,4.0,20.0,2,0.0,5.0,16.0,3.0,0.0,2.0,0.0,28th,Delhi Capitals
Axar Patel,3.0,13.0,2,0.0,4.33,12.0,2.0,0.0,0.0,0.0,28th,Delhi Capitals
Mitchell Marsh,2.0,25.0,0,0.0,12.5,2.0,1.0,2.0,2.0,0.0,28th,Delhi Capitals
Kuldeep Yadav,3.0,15.0,2,0.0,5.0,9.0,0.0,1.0,1.0,0.0,28th,Delhi Capitals
Umesh Yadav,1.0,6.0,0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,28th,Kolkata Knight Riders
Kulwant Khejroliya,1.2,20.0,0,0.0,15.0,2.0,3.0,0.0,0.0,1.0,28th,Kolkata Knight Riders
Andre Russell,1.0,12.0,0,0.0,12.0,3.0,2.0,0.0,0.0,1.0,28th,Kolkata Knight Riders
Sunil Narine,4.0,36.0,0,0.0,9.0,7.0,6.0,0.0,1.0,0.0,28th,Kolkata Knight Riders
Varun Chakravarthy,4.0,16.0,2,1.0,4.0,14.0,2.0,0.0,0.0,0.0,28th,Kolkata Knight Riders
Anukul Roy,4.0,19.0,2,0.0,4.75,13.0,2.0,0.0,2.0,0.0,28th,Kolkata Knight Riders
Nitish Rana,4.0,17.0,2,0.0,4.25,10.0,1.0,0.0,0.0,0.0,28th,Kolkata Knight Riders
Akash Singh,3.0,17.0,1,0.0,5.66,10.0,1.0,1.0,0.0,0.0,29th,Chennai Super Kings
Tushar Deshpande,3.0,26.0,0,0.0,8.66,7.0,4.0,0.0,1.0,0.0,29th,Chennai Super Kings
Maheesh Theekshana,4.0,27.0,1,0.0,6.75,5.0,2.0,0.0,0.0,0.0,29th,Chennai Super Kings
Moeen Ali,2.0,18.0,0,0.0,9.0,2.0,1.0,1.0,0.0,0.0,29th,Chennai Super Kings
Ravindra Jadeja,4.0,22.0,3,0.0,5.5,8.0,1.0,0.0,0.0,0.0,29th,Chennai Super Kings
Matheesha Pathirana,4.0,22.0,1,0.0,5.5,9.0,2.0,0.0,1.0,0.0,29th,Chennai Super Kings
Bhuvneshwar Kumar,2.0,10.0,0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,29th,Sunrisers Hyderabad
Marco Jansen,3.0,37.0,0,0.0,12.33,5.0,6.0,1.0,0.0,0.0,29th,Sunrisers Hyderabad
Aiden Markram,1.0,11.0,0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,29th,Sunrisers Hyderabad
Washington Sundar,2.4,16.0,0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,29th,Sunrisers Hyderabad
Mayank Markande,4.0,23.0,2,0.0,5.75,8.0,2.0,0.0,0.0,0.0,29th,Sunrisers Hyderabad
Umran Malik,3.0,18.0,0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,29th,Sunrisers Hyderabad
Mayank Dagar,3.0,21.0,0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,29th,Sunrisers Hyderabad
Naveen-ul-Haq,4.0,19.0,1,0.0,4.75,12.0,1.0,0.0,0.0,0.0,30th,Lucknow Super Giants
Krunal Pandya,4.0,16.0,2,0.0,4.0,13.0,1.0,0.0,0.0,0.0,30th,Lucknow Super Giants
Avesh Khan,3.0,21.0,0,0.0,7.0,6.0,2.0,0.0,0.0,0.0,30th,Lucknow Super Giants
Ravi Bishnoi,4.0,49.0,0,0.0,12.25,4.0,4.0,3.0,0.0,0.0,30th,Lucknow Super Giants
Marcus Stoinis,3.0,20.0,2,0.0,6.66,7.0,1.0,1.0,0.0,0.0,30th,Lucknow Super Giants
Amit Mishra,2.0,9.0,1,0.0,4.5,4.0,0.0,0.0,0.0,0.0,30th,Lucknow Super Giants
Mohammed Shami,3.0,18.0,0,1.0,6.0,9.0,3.0,0.0,0.0,0.0,30th,Gujarat Titans
Jayant Yadav,4.0,26.0,0,0.0,6.5,8.0,2.0,0.0,0.0,0.0,30th,Gujarat Titans
Rashid Khan,4.0,33.0,1,0.0,8.25,9.0,4.0,1.0,0.0,0.0,30th,Gujarat Titans
Mohit Sharma,3.0,17.0,2,0.0,5.66,5.0,1.0,0.0,0.0,0.0,30th,Gujarat Titans
